Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,CountryCode,CountryName,Population,DeathsPop,CasesPop
Maldives,177,0,0.0,0.0,17.0,160,2.0,327.0,0.0,5296.0,9798.0,MDV,Maldives,515696.0,<1,34
Mongolia,38,+1,0.0,0.0,9.0,29,0.0,12.0,0.0,7292.0,2224.0,MNG,Mongolia,3170208.0,<1,1
Rwanda,183,0,0.0,0.0,88.0,95,0.0,14.0,0.0,6959.0,537.0,RWA,Rwanda,12301939.0,<1,1
Faeroe Islands,187,0,0.0,0.0,178.0,9,0.0,3827.0,0.0,6588.0,134826.0,FRO,Faroe Islands,48497.0,<1,385
Chad,46,0,0.0,0.0,15.0,31,0.0,3.0,0.0,0.0,0.0,TCD,Chad,15477751.0,<1,<1
Réunion,417,0,0.0,0.0,300.0,117,2.0,466.0,0.0,0.0,0.0,0,0,0.0,<1,<1
Timor-Leste,24,0,0.0,0.0,2.0,22,0.0,18.0,0.0,322.0,244.0,TLS,East Timor,1267972.0,<1,1
Nepal,51,+2,0.0,0.0,16.0,35,0.0,2.0,0.0,51367.0,1763.0,NPL,Nepal,28087871.0,<1,<1
CAR,19,+3,0.0,0.0,10.0,9,0.0,4.0,0.0,0.0,0.0,CAF,Central African Republic,4666377.0,<1,<1
Laos,19,0,0.0,0.0,7.0,12,0.0,3.0,0.0,1735.0,238.0,LAO,Laos,7061507.0,<1,<1
Guinea-Bissau,52,0,0.0,0.0,3.0,49,0.0,26.0,0.0,1500.0,762.0,GNB,Guinea-Bissau,1874309.0,<1,2
Grenada,18,0,0.0,0.0,7.0,11,4.0,160.0,0.0,175.0,1555.0,GRD,Grenada,111454.0,<1,16
New Caledonia,18,0,0.0,0.0,17.0,1,1.0,63.0,0.0,3952.0,13842.0,NCL,New Caledonia,284060.0,<1,6
Dominica,16,0,0.0,0.0,13.0,3,0.0,222.0,0.0,383.0,5320.0,DMA,Dominica,71625.0,<1,22
Namibia,16,0,0.0,0.0,8.0,8,0.0,6.0,0.0,675.0,266.0,NAM,Namibia,2448255.0,<1,<1
Saint Kitts and Nevis,15,0,0.0,0.0,2.0,13,0.0,282.0,0.0,260.0,4887.0,KNA,Saint Kitts and Nevis,52441.0,<1,28
Saint Lucia,15,0,0.0,0.0,15.0,0,0.0,82.0,0.0,446.0,2429.0,LCA,Saint Lucia,181889.0,<1,8
St. Vincent Grenadines,14,0,0.0,0.0,5.0,9,0.0,126.0,0.0,108.0,973.0,VCT,Saint Vincent and the Grenadines,110210.0,<1,12
Falkland Islands,13,0,0.0,0.0,11.0,2,0.0,3736.0,0.0,353.0,101437.0,FLK,Falkland Islands,2638.0,<1,492
Fiji,18,0,0.0,0.0,10.0,8,0.0,20.0,0.0,900.0,1004.0,FJI,Fiji,883483.0,<1,2
